Id,Phase,Pixel Count,Area,Center Of Gravity X,Center Of Gravity Y,Fitted Ellipse Major Diameter,Fitted Ellipse Minor Diameter,Fitted Ellipse Angle,Fitted Ellipse AspectRatio,Mean Orientation Euler1,Mean Orientation Euler2,Mean Orientation Euler3
,,pix,µm²,µm,µm,µm,µm,°,,°,°,°
2825,Ti-Hex,25.00,4.00,33.02,37.78,4.59,1.11,155.57,4.14,68.12,81.00,33.43
2851,Ti-Hex,32.00,5.12,71.11,39.09,4.09,1.59,136.77,2.56,127.38,46.56,26.72
2859,Ti-Hex,43.00,6.88,87.17,38.79,5.01,1.75,25.08,2.87,111.56,165.72,4.70
2861,Ti-Hex,26.00,4.16,7.46,40.31,5.62,0.94,103.96,5.96,8.05,63.16,55.57
2864,Ti-Hex,18.00,2.88,11.98,40.24,5.82,0.63,101.67,9.25,23.24,121.30,34.80
2866,Ti-Hex,49.00,7.84,24.71,38.92,4.88,2.04,174.89,2.39,22.86,121.29,46.32
2874,Ti-Hex,82.00,13.12,55.89,38.99,10.40,1.61,168.29,6.47,22.96,121.66,44.63
2879,Ti-Hex,11.00,1.76,66.44,39.05,3.67,0.61,103.68,6.01,9.21,63.71,53.41
2883,Ti-Hex,21.00,3.36,79.30,38.23,2.46,1.74,157.77,1.41,70.79,81.66,34.13
2892,Ti-Hex,163.00,26.08,21.50,40.83,15.89,2.09,159.73,7.60,68.49,79.92,34.00
2896,Ti-Hex,27.00,4.32,29.73,39.26,2.42,2.28,95.10,1.06,21.47,121.08,45.15
2899,Ti-Hex,38.00,6.08,33.94,39.31,6.90,1.12,160.37,6.14,21.76,121.25,45.47
2901,Ti-Hex,62.00,9.92,45.28,39.33,8.62,1.47,165.38,5.88,23.22,121.64,45.32
2942,Ti-Hex,10.00,1.60,72.56,39.08,2.03,1.00,100.30,2.03,113.63,166.67,18.80
2945,Ti-Hex,41.00,6.56,83.14,40.50,6.22,1.34,148.76,4.63,127.80,46.94,27.37
2946,Ti-Hex,31.00,4.96,84.89,40.43,7.69,0.82,150.11,9.37,70.43,80.85,34.38
2957,Ti-Hex,67.00,10.72,64.27,40.88,7.72,1.77,165.13,4.37,22.97,121.77,44.73
2961,Ti-Hex,24.00,3.84,76.55,39.98,4.01,1.22,30.33,3.28,116.22,167.76,9.89
2992,Ti-Hex,31.00,4.96,81.78,41.52,4.96,1.27,120.54,3.90,114.80,166.45,19.37
2997,Ti-Hex,29.00,4.64,14.77,42.84,6.66,0.89,95.72,7.50,23.47,120.68,35.63
2998,Ti-Hex,30.00,4.80,16.63,42.79,8.19,0.75,118.80,10.99,112.34,165.96,18.25
3010,Ti-Hex,71.00,11.36,53.89,41.19,7.77,1.86,165.24,4.17,23.06,121.65,44.75
3028,Ti-Hex,21.00,3.36,19.12,41.16,5.23,0.82,149.18,6.38,127.89,46.34,26.03
3032,Ti-Hex,184.00,29.44,34.00,42.27,12.48,3.00,165.02,4.16,68.67,80.32,33.48
3039,Ti-Hex,20.00,3.20,56.56,40.60,4.05,1.00,158.04,4.03,125.69,47.64,28.42
3049,Ti-Hex,26.00,4.16,88.11,40.78,3.19,1.66,150.80,1.92,24.88,120.94,46.25
3079,Ti-Hex,64.00,10.24,75.60,41.71,8.12,1.60,172.47,5.06,23.78,121.45,45.05
3088,Ti-Hex,23.00,3.68,27.65,42.30,4.81,0.97,140.69,4.93,126.93,47.50,26.28
3111,Ti-Hex,14.00,2.24,0.94,41.83,2.57,1.11,14.75,2.31,112.45,166.45,7.67
3140,Ti-Hex,147.00,23.52,46.87,43.80,9.53,3.14,162.22,3.03,69.69,80.95,33.40
3151,Ti-Hex,113.00,18.08,75.56,43.67,12.20,1.89,161.72,6.46,70.03,80.98,33.65
3158,Ti-Hex,14.00,2.24,3.60,42.63,2.64,1.08,29.12,2.45,7.88,63.33,45.46
3160,Ti-Hex,25.00,4.00,15.79,44.14,4.87,1.05,113.85,4.65,113.94,165.63,19.85
3164,Ti-Hex,12.00,1.92,19.27,42.33,1.93,1.27,178.09,1.52,24.16,120.04,46.29
3173,Ti-Hex,11.00,1.76,52.04,42.76,1.82,1.23,135.00,1.48,126.69,47.86,28.36
3179,Ti-Hex,32.00,5.12,65.92,44.30,4.00,1.63,131.89,2.46,113.93,167.43,18.33
3183,Ti-Hex,117.00,18.72,85.54,43.67,7.67,3.11,13.52,2.47,9.87,63.17,44.25
3188,Ti-Hex,53.00,8.48,25.32,44.63,6.67,1.62,149.80,4.12,126.02,46.95,26.80
3200,Ti-Hex,12.00,1.92,79.13,42.83,2.87,0.85,6.09,3.38,110.31,166.90,4.32
3201,Ti-Hex,19.00,3.04,1.16,43.31,2.91,1.33,162.04,2.19,23.23,121.24,45.90
3208,Ti-Hex,20.00,3.20,30.94,44.02,3.34,1.22,144.78,2.74,22.96,120.49,45.37
3214,Ti-Hex,38.00,6.08,43.04,44.31,5.64,1.37,152.76,4.11,128.17,47.04,26.00
3233,Ti-Hex,11.00,1.76,22.22,44.55,3.44,0.65,99.03,5.27,22.41,120.66,35.16
3234,Ti-Hex,17.00,2.72,23.20,44.80,3.54,0.98,115.18,3.61,111.20,165.77,17.75
3252,Ti-Hex,12.00,1.92,60.50,44.40,2.55,0.96,101.69,2.65,113.93,167.46,18.33
3255,Ti-Hex,23.00,3.68,68.03,43.77,2.92,1.60,162.79,1.83,125.03,107.21,27.32
3263,Ti-Hex,19.00,3.04,4.17,44.17,2.69,1.44,165.92,1.88,23.33,121.16,46.67
3266,Ti-Hex,13.00,2.08,19.35,44.89,3.38,0.78,115.72,4.31,112.51,165.80,18.45
3274,Ti-Hex,81.00,12.96,55.23,45.15,8.14,2.03,169.83,4.02,70.47,81.15,33.17
3283,Ti-Hex,53.00,8.48,2.71,45.25,6.66,1.62,168.03,4.11,69.22,80.29,33.97
3295,Ti-Hex,16.00,2.56,33.58,44.42,2.35,1.39,168.56,1.69,8.46,64.52,44.24
3296,Ti-Hex,53.00,8.48,37.58,45.24,7.00,1.54,166.81,4.54,23.14,120.63,46.20
3308,Ti-Hex,26.00,4.16,87.69,45.00,4.23,1.25,20.04,3.37,126.37,105.74,27.46
3329,Ti-Hex,25.00,4.00,75.78,45.26,4.04,1.26,164.00,3.21,23.20,121.33,44.80
